budget,imdb_id,revenue
200000000,tt0383574,1065659812
55000000,tt0454921,307077295
125000000,tt0382625,767820459
150000000,tt0381061,599045960
120000000,tt0317219,461983149
65000000,tt0416449,422610419
54000000,tt0434409,132511035
35000000,tt0458352,326551094
25000000,tt0449467,135330182
80000000,tt0438097,660940780
40000000,tt0482571,109676311
55000000,tt0450232,65664721
110000000,tt0477347,574480841
50000000,tt0384537,97607453
50000000,tt0401855,111340801
40000000,tt0410297,114830111
12000000,tt0462590,114194847
90000000,tt0407887,289847354
150000000,tt0317919,397850012
100000000,tt0450259,170877916
300000000,tt0449088,961000000
3500000,tt0804507,54947
150000000,tt0373889,938212738
150000000,tt0382932,623722818
70000000,tt0486655,135560026
25000000,tt0477348,171600000
110000000,tt0337978,383531464
258000000,tt0413300,890871626
85000000,tt0461770,340487652
130000000,tt0486576,289047763
110000000,tt0259324,228738393
65000000,tt0443706,84785914
150000000,tt0480249,585349010
15000000,tt0758758,56255142
40000000,tt0758730,41797066
75000000,tt0462538,527068851
20000000,tt0486822,117760134
61000000,tt0822854,95696996
20000000,tt0368794,4001121
185000000,tt0468569,1004558444
37000000,tt1099212,392616625
140000000,tt0371746,585174222
180000000,tt0910970,521311860
130000000,tt0441773,631744560
150000000,tt0421715,333932083
33000000,tt1205489,269958228
75000000,tt0493464,258270008
200000000,tt0830515,586090727
32000000,tt0976051,113019290
45000000,tt0373051,101702060
60000000,tt0494238,57490374
41677699,tt0876563,187479518
55000000,tt0814314,168167691
150000000,tt0800080,163712074
185000000,tt0367882,786636033
20000000,tt1023111,41627431
225000000,tt0499448,419651413
80000000,tt1059786,178066569
85000000,tt0411477,160388063
237000000,tt0499549,2787965087
50000000,tt1259571,709827462
175000000,tt1049413,735099082
90000000,tt0988045,524028679
250000000,tt0417741,933959197
70000000,tt0361748,319131050
150000000,tt0808151,356613439
150000000,tt0796366,385680446
200000000,tt0438488,371353001
130000000,tt0409459,185258983
35000000,tt1119646,459270619
90000000,tt1080016,886686817
5000000,tt1182345,9760104
30000000,tt1127180,90810892
65000000,tt0380510,93525586
200000000,tt1190080,769653595
32000000,tt0898367,27635305
150000000,tt1078912,413106170
30000000,tt1136608,210819611
160000000,tt1375666,825532764
69000000,tt1323594,543513985
68000000,tt1325004,698491347
250000000,tt0926084,954305868
200000000,tt1014759,1025491110
200000000,tt1228705,623933331
28000000,tt1250777,96188903
13000000,tt0947798,327803731
40000000,tt1285016,224920315
80000000,tt1130884,294804195
100000000,tt1243957,278731369
165000000,tt0892769,494878759
125000000,tt0800320,232713139
110000000,tt0429493,177238796
37000000,tt0840361,154026136
8000000,tt1282140,74952305
260000000,tt0398286,591794936
150000000,tt0473075,335154643
20000000,tt1477076,136150434
170000000,tt1104001,400062763
150000000,tt0800369,449326618
93000000,tt1318514,482860185
380000000,tt1298650,1045713802
110000000,tt1324999,712171856
15000000,tt0780504,78054825
125000000,tt1201607,1342000000
140000000,tt0458339,370569774
13000000,tt1675434,426480871
60000000,tt1598778,137551594
200000000,tt1216475,559852396
32000000,tt0945513,147332697
50000000,tt1650062,260095987
90000000,tt1568346,232617430
200000000,tt1133985,219851172
125000000,tt1515091,334615000
50000000,tt1210166,110206216
82000000,tt0978764,89792502
80000000,tt1411697,254455986
40000000,tt1637688,173930596
220000000,tt0848228,1519557910
250000000,tt1345836,1084939099
215000000,tt0948470,752215857
250000000,tt0903624,1021103568
130000000,tt1446714,403170142
120000000,tt1673434,829000000
100000000,tt1853728,425368238
185000000,tt1217209,538983207
130000000,tt1194173,276572938
200000000,tt1074638,1108561013
79000000,tt1397514,355692760
225000000,tt1409024,624026776
25000000,tt1524137,63100000
170000000,tt1735898,396600000
95000000,tt1667889,877244782
50000000,tt1637725,549368315
100000000,tt1764651,312573423
85000000,tt0837562,358375603
70000000,tt1496025,160112671
120000000,tt0454876,609016565
170000000,tt1981115,644571402
150000000,tt2294629,1274219009
250000000,tt1170358,958400000
130000000,tt1951264,847423452
76000000,tt1690953,970761885
225000000,tt0770828,662845518
75000000,tt1670345,117698894
100000000,tt0993846,392000694
200000000,tt1300854,1215439994
13000000,tt1457767,318000141
105000000,tt1454468,716392705
40000000,tt1800241,251171807
105000000,tt1343092,351040419
120000000,tt1483013,286168572
200000000,tt1453405,743559607
46000000,tt1392214,122126687
20000000,tt2024544,187000000
165000000,tt2245084,652105443
20000000,tt2911666,88761661
61000000,tt2267998,369330363
125000000,tt1951265,752100229
170000000,tt2103281,710644566
3300000,tt2582802,13092000
170000000,tt2015381,773328629
165000000,tt0816692,675120017
250000000,tt2310332,956019788
14000000,tt2084970,233555708
34000000,tt1790864,348319861
68000000,tt2713180,211817906
18000000,tt2562232,103215094
125000000,tt1291150,477200000
